,mBERT,Chinese-BERT,MacBERT,XLM-R-base,XLM-R-large,ERNIE-3.0,UER-tiny,UER-small
乻,False,False,False,False,False,True,False,False
乼,False,False,False,False,False,True,False,False
乽,False,False,False,False,False,True,False,False
乾,True,True,True,False,False,True,True,True
乿,False,False,False,False,False,True,False,False
亀,True,True,True,False,False,True,True,True
亁,False,False,False,False,False,True,False,False
亂,True,True,True,False,False,True,True,True
亃,False,False,False,False,False,True,False,False
亄,False,False,False,False,False,True,False,False
亅,False,False,False,False,False,True,False,False
了,True,True,True,False,False,True,True,True
亇,False,False,False,False,False,True,False,False
予,True,True,True,False,False,True,True,True
争,True,True,True,False,False,True,True,True
亊,False,False,False,False,False,True,False,False
事,True,True,True,False,False,True,True,True
二,True,True,True,True,True,True,True,True
亍,False,False,False,False,False,True,False,False
于,True,True,True,False,False,True,True,True
亏,True,True,True,False,False,True,True,True
亐,False,False,False,False,False,True,False,False
云,True,True,True,False,False,True,True,True
互,True,True,True,False,False,True,True,True
亓,False,False,False,False,False,True,False,False
五,True,True,True,False,False,True,True,True
井,True,True,True,False,False,True,True,True
亖,False,False,False,False,False,True,False,False
亗,False,False,False,False,False,True,False,False
亘,True,True,True,False,False,True,True,True
亙,False,True,True,False,False,True,True,True
亚,True,True,True,False,False,True,True,True
些,True,True,True,False,False,True,True,True
亜,True,True,True,False,False,True,True,True
亝,False,False,False,False,False,True,False,False
亞,True,True,True,False,False,True,True,True
亟,True,True,True,False,False,True,True,True
亠,False,False,False,False,False,True,False,False
亡,True,True,True,False,False,True,True,True
亢,True,True,True,False,False,True,True,True
亣,False,False,False,False,False,True,False,False
交,True,True,True,False,False,True,True,True
亥,True,True,True,False,False,True,True,True
亦,True,True,True,False,False,True,True,True
产,True,True,True,False,False,True,True,True
亨,True,True,True,False,False,True,True,True
亩,True,True,True,False,False,True,True,True
亪,False,False,False,False,False,True,False,False
享,True,True,True,False,False,True,True,True
京,True,True,True,False,False,True,True,True
亭,True,True,True,False,False,True,True,True
亮,True,True,True,False,False,True,True,True
亯,False,False,False,False,False,True,False,False
亰,False,False,False,False,False,True,False,False
亱,False,False,False,False,False,True,False,False
亲,True,True,True,False,False,True,True,True
亳,True,True,True,False,False,True,True,True
亴,False,False,False,False,False,True,False,False
亵,True,True,True,False,False,True,True,True
亶,True,False,False,False,False,True,False,False
亷,False,False,False,False,False,True,False,False
亸,False,False,False,False,False,True,False,False
亹,False,False,False,False,False,True,False,False
人,True,True,True,False,False,True,True,True
亻,False,False,False,False,False,True,False,False
亼,False,False,False,False,False,True,False,False
亽,False,False,False,False,False,True,False,False
亾,False,False,False,False,False,True,False,False
亿,True,True,True,False,False,True,True,True
什,True,True,True,False,False,True,True,True
仁,True,True,True,False,False,True,True,True
仂,False,False,False,False,False,True,False,False
仃,False,True,True,False,False,True,True,True
仄,True,True,True,False,False,True,True,True
仅,True,True,True,False,False,True,True,True
仆,True,True,True,False,False,True,True,True
仇,True,True,True,False,False,True,True,True
仈,False,False,False,False,False,True,False,False
仉,False,False,False,False,False,True,False,False
今,True,True,True,True,True,True,True,True
介,True,True,True,False,False,True,True,True
仌,False,False,False,False,False,True,False,False
仍,True,True,True,False,False,True,True,True
从,True,True,True,True,True,True,True,True
仏,True,True,True,False,False,True,True,True
仐,False,False,False,False,False,True,False,False
仑,True,True,True,False,False,True,True,True
仒,False,False,False,False,False,True,False,False
仓,True,True,True,False,False,True,True,True
仔,True,True,True,False,False,True,True,True
仕,True,True,True,False,False,True,True,True
他,True,True,True,True,True,True,True,True
仗,True,True,True,False,False,True,True,True
付,True,True,True,False,False,True,True,True
仙,True,True,True,False,False,True,True,True
仚,False,False,False,False,False,True,False,False
仛,False,False,False,False,False,True,False,False
仜,False,False,False,False,False,True,False,False
仝,True,True,True,False,False,True,True,True
仞,False,True,True,False,False,True,True,True
仟,False,True,True,False,False,True,True,True
仠,False,False,False,False,False,True,False,False
仡,True,False,False,False,False,True,False,False
仢,False,False,False,False,False,True,False,False
代,True,True,True,False,False,True,True,True
令,True,True,True,False,False,True,True,True
以,True,True,True,False,False,True,True,True
仦,False,False,False,False,False,True,False,False
仧,False,False,False,False,False,True,False,False
仨,False,True,True,False,False,True,True,True
仩,False,False,False,False,False,True,False,False
仪,True,True,True,False,False,True,True,True
仫,False,False,False,False,False,True,False,False
们,True,True,True,False,False,True,True,True
仭,False,False,False,False,False,True,False,False
仮,True,True,True,False,False,True,True,True
仯,False,False,False,False,False,True,False,False
仰,True,True,True,False,False,True,True,True
仱,False,False,False,False,False,True,False,False
仲,True,True,True,False,False,True,True,True
仳,False,False,False,False,False,True,False,False
仴,False,False,False,False,False,True,False,False
仵,False,False,False,False,False,True,False,False
件,True,True,True,False,False,True,True,True
价,True,True,True,False,False,True,True,True
仸,False,False,False,False,False,True,False,False
仹,False,False,False,False,False,True,False,False
仺,False,False,False,False,False,True,False,False
任,True,True,True,False,False,True,True,True
仼,False,False,False,False,False,True,False,False
份,True,True,True,False,False,True,True,True
仾,False,False,False,False,False,True,False,False
仿,True,True,True,False,False,True,True,True
伀,False,False,False,False,False,True,False,False
企,True,True,True,False,False,True,True,True
伂,False,False,False,False,False,True,False,False
伃,False,False,False,False,False,True,False,False
伄,False,False,False,False,False,True,False,False
伅,False,False,False,False,False,True,False,False
伆,False,False,False,False,False,True,False,False
伇,False,False,False,False,False,True,False,False
伈,False,False,False,False,False,True,False,False
伉,True,True,True,False,False,True,True,True
伊,True,True,True,False,False,True,True,True
伋,False,False,False,False,False,True,False,False
伌,False,False,False,False,False,True,False,False
伍,True,True,True,False,False,True,True,True
伎,True,True,True,False,False,True,True,True
伏,True,True,True,False,False,True,True,True
伐,True,True,True,False,False,True,True,True
休,True,True,True,False,False,True,True,True
伒,False,False,False,False,False,True,False,False
伓,False,False,False,False,False,True,False,False
伔,False,False,False,False,False,True,False,False
伕,False,True,True,False,False,True,True,True
伖,False,False,False,False,False,True,False,False
众,True,True,True,False,False,True,True,True
优,True,True,True,False,False,True,True,True
伙,True,True,True,False,False,True,True,True
会,True,True,True,False,False,True,True,True
伛,False,False,False,False,False,True,False,False
伜,False,False,False,False,False,True,False,False
伝,True,True,True,False,False,True,True,True
伞,True,True,True,False,False,True,True,True
伟,True,True,True,False,False,True,True,True
传,True,True,True,False,False,True,True,True
伡,False,False,False,False,False,True,False,False
伢,False,True,True,False,False,True,True,True
伣,False,False,False,False,False,True,False,False
伤,True,True,True,False,False,True,True,True
伥,False,False,False,False,False,True,False,False
伦,True,True,True,False,False,True,True,True
伧,False,False,False,False,False,True,False,False
伨,False,False,False,False,False,True,False,False
伩,False,False,False,False,False,True,False,False
伪,True,True,True,False,False,True,True,True
伫,False,True,True,False,False,True,True,True
伬,False,False,False,False,False,True,False,False
伭,False,False,False,False,False,True,False,False
伮,False,False,False,False,False,True,False,False
伯,True,True,True,False,False,True,True,True
估,True,True,True,False,False,True,True,True
伱,False,False,False,False,False,True,False,False
伲,False,False,False,False,False,True,False,False
伳,False,False,False,False,False,True,False,False
伴,True,True,True,False,False,True,True,True
伵,False,False,False,False,False,True,False,False
伶,True,True,True,False,False,True,True,True
伷,False,False,False,False,False,True,False,False
伸,True,True,True,False,False,True,True,True
伹,False,False,False,False,False,True,False,False
伺,True,True,True,False,False,True,True,True
伻,False,False,False,False,False,True,False,False
似,True,True,True,False,False,True,True,True
伽,True,True,True,False,False,True,True,True
伾,False,False,False,False,False,True,False,False
伿,False,False,False,False,False,True,False,False
佀,False,False,False,False,False,True,False,False
佁,False,False,False,False,False,True,False,False
佂,False,False,False,False,False,True,False,False
佃,True,True,True,False,False,True,True,True
佄,False,False,False,False,False,True,False,False
佅,False,False,False,False,False,True,False,False
但,True,True,True,True,True,True,True,True
佇,True,True,True,False,False,True,True,True
佈,True,True,True,False,False,True,True,True
佉,False,False,False,False,False,True,False,False
佊,False,False,False,False,False,True,False,False
佋,False,False,False,False,False,True,False,False
佌,False,False,False,False,False,True,False,False
位,True,True,True,False,False,True,True,True
低,True,True,True,False,False,True,True,True
住,True,True,True,False,False,True,True,True
佐,True,True,True,False,False,True,True,True
佑,True,True,True,False,False,True,True,True
佒,False,False,False,False,False,True,False,False
体,True,True,True,False,False,True,True,True
佔,True,True,True,False,False,True,True,True
何,True,True,True,False,False,True,True,True
佖,False,False,False,False,False,True,False,False
佗,True,True,True,False,False,True,True,True
佘,True,True,True,False,False,True,True,True
余,True,True,True,False,False,True,True,True
佚,True,True,True,False,False,True,True,True
佛,True,True,True,False,False,True,True,True
作,True,True,True,False,False,True,True,True
佝,False,True,True,False,False,True,True,True
佞,True,True,True,False,False,True,True,True
佟,True,True,True,False,False,True,True,True
你,True,True,True,True,True,True,True,True
佡,False,False,False,False,False,True,False,False
佢,True,True,True,False,False,True,True,True
佣,True,True,True,False,False,True,True,True
佤,True,True,True,False,False,True,True,True
佥,True,True,True,False,False,True,True,True
佦,False,False,False,False,False,True,False,False
佧,False,False,False,False,False,True,False,False
佨,False,False,False,False,False,True,False,False
佩,True,True,True,False,False,True,True,True
佪,False,False,False,False,False,True,False,False
佫,False,False,False,False,False,True,False,False
佬,True,True,True,False,False,True,True,True
佭,False,False,False,False,False,True,False,False
佮,False,False,False,False,False,True,False,False
佯,True,True,True,False,False,True,True,True
佰,True,True,True,False,False,True,True,True
佱,False,False,False,False,False,True,False,False
佲,False,False,False,False,False,True,False,False
佳,True,True,True,False,False,True,True,True
佴,False,False,False,False,False,True,False,False
併,True,True,True,False,False,True,True,True
佶,True,True,True,False,False,True,True,True
佷,False,False,False,False,False,True,False,False
佸,False,False,False,False,False,True,False,False
佹,False,False,False,False,False,True,False,False
佺,False,False,False,False,False,True,False,False
佻,False,True,True,False,False,True,True,True
佼,True,True,True,False,False,True,True,True
佽,False,False,False,False,False,True,False,False
佾,False,False,False,False,False,True,False,False
使,True,True,True,False,False,True,True,True
侀,False,False,False,False,False,True,False,False
侁,False,False,False,False,False,True,False,False
侂,False,False,False,False,False,True,False,False
侃,True,True,True,False,False,True,True,True
侄,True,True,True,False,False,True,True,True
侅,False,False,False,False,False,True,False,False
來,True,True,True,False,False,True,True,True
侇,False,False,False,False,False,True,False,False
侈,True,True,True,False,False,True,True,True
侉,False,False,False,False,False,True,False,False
侊,False,False,False,False,False,True,False,False
例,True,True,True,False,False,True,True,True
侌,False,False,False,False,False,True,False,False
侍,True,True,True,False,False,True,True,True
侎,False,False,False,False,False,True,False,False
侏,True,True,True,False,False,True,True,True
侐,False,False,False,False,False,True,False,False
侑,True,True,True,False,False,True,True,True
侒,False,False,False,False,False,True,False,False
侓,False,False,False,False,False,True,False,False
侔,False,False,False,False,False,True,False,False
侕,False,False,False,False,False,True,False,False
侖,True,True,True,False,False,True,True,True
侗,True,True,True,False,False,True,True,True
侘,False,False,False,False,False,True,False,False
侙,False,False,False,False,False,True,False,False
侚,False,False,False,False,False,True,False,False
供,True,True,True,False,False,True,True,True
侜,False,False,False,False,False,True,False,False
依,True,True,True,False,False,True,True,True
侞,False,False,False,False,False,True,False,False
侟,False,False,False,False,False,True,False,False
侠,True,True,True,False,False,True,True,True
価,True,True,True,False,False,True,True,True
侢,False,False,False,False,False,True,False,False
侣,True,True,True,False,False,True,True,True
侤,False,False,False,False,False,True,False,False
侥,False,True,True,False,False,True,True,True
侦,True,True,True,False,False,True,True,True
侧,True,True,True,False,False,True,True,True
侨,True,True,True,False,False,True,True,True
侩,False,False,False,False,False,True,False,False
侪,False,False,False,False,False,True,False,False
侫,False,False,False,False,False,True,False,False
侬,True,True,True,False,False,True,True,True
侭,False,False,False,False,False,True,False,False
侮,True,True,True,False,False,True,True,True
侯,True,True,True,False,False,True,True,True
侰,False,False,False,False,False,True,False,False
侱,False,False,False,False,False,True,False,False
侲,False,False,False,False,False,True,False,False
侳,False,False,False,False,False,True,False,False
侴,False,False,False,False,False,True,False,False
侵,True,True,True,False,False,True,True,True
侶,True,True,True,False,False,True,True,True
侷,False,True,True,False,False,True,True,True
侸,False,False,False,False,False,True,False,False
侹,False,False,False,False,False,True,False,False
侺,False,False,False,False,False,True,False,False
侻,False,False,False,False,False,True,False,False
侼,False,False,False,False,False,True,False,False
侽,False,False,False,False,False,True,False,False
侾,False,False,False,False,False,True,False,False
便,True,True,True,False,False,True,True,True
俀,False,False,False,False,False,True,False,False
俁,True,False,False,False,False,True,False,False
係,True,True,True,False,False,True,True,True
促,True,True,True,False,False,True,True,True
俄,True,True,True,False,False,True,True,True
俅,False,False,False,False,False,True,False,False
俆,False,False,False,False,False,True,False,False
俇,False,False,False,False,False,True,False,False
俈,False,False,False,False,False,True,False,False
俉,False,False,False,False,False,True,False,False
俊,True,True,True,False,False,True,True,True
俋,False,False,False,False,False,True,False,False
俌,False,False,False,False,False,True,False,False
俍,False,False,False,False,False,True,False,False
俎,True,True,True,False,False,True,True,True
俏,True,True,True,False,False,True,True,True
俐,True,True,True,False,False,True,True,True
俑,True,True,True,False,False,True,True,True
俒,False,False,False,False,False,True,False,False
俓,False,False,False,False,False,True,False,False
俔,False,False,False,False,False,True,False,False
俕,False,False,False,False,False,True,False,False
俖,False,False,False,False,False,True,False,False
俗,True,True,True,False,False,True,True,True
俘,True,True,True,False,False,True,True,True
俙,False,False,False,False,False,True,False,False
俚,True,True,True,False,False,True,True,True
俛,False,False,False,False,False,True,False,False
俜,False,False,False,False,False,True,False,False
保,True,True,True,False,False,True,True,True
俞,True,True,True,False,False,True,True,True
俟,True,True,True,False,False,True,True,True
俠,True,True,True,False,False,True,True,True
信,True,True,True,False,False,True,True,True
俢,False,False,False,False,False,True,False,False
俣,True,False,False,False,False,True,False,False
俤,False,False,False,False,False,True,False,False
俥,False,False,False,False,False,True,False,False
俦,False,False,False,False,False,True,False,False
俧,False,False,False,False,False,True,False,False
俨,True,True,True,False,False,True,True,True
俩,True,True,True,False,False,True,True,True
俪,True,True,True,False,False,True,True,True
俫,False,False,False,False,False,True,False,False
俬,False,True,True,False,False,True,True,True
俭,True,True,True,False,False,True,True,True
修,True,True,True,False,False,True,True,True
俯,True,True,True,False,False,True,True,True
俰,False,False,False,False,False,True,False,False
俱,True,True,True,False,False,True,True,True
俲,False,False,False,False,False,True,False,False
俳,True,True,True,False,False,True,True,True
俴,False,False,False,False,False,True,False,False
俵,True,False,False,False,False,True,False,False
俶,True,False,False,False,False,True,False,False
俷,False,False,False,False,False,True,False,False
俸,True,True,True,False,False,True,True,True
俹,False,False,False,False,False,True,False,False
俺,True,True,True,False,False,True,True,True
俻,False,False,False,False,False,True,False,False
俼,False,False,False,False,False,True,False,False
俽,False,False,False,False,False,True,False,False
俾,True,True,True,False,False,True,True,True
俿,False,False,False,False,False,True,False,False
倀,False,False,False,False,False,True,False,False
倁,False,False,False,False,False,True,False,False
倂,False,False,False,False,False,True,False,False
倃,False,False,False,False,False,True,False,False
倄,False,False,False,False,False,True,False,False
倅,False,False,False,False,False,True,False,False
倆,True,True,True,False,False,True,True,True
倇,False,False,False,False,False,True,False,False
倈,False,False,False,False,False,True,False,False
倉,True,True,True,False,False,True,True,True
倊,False,False,False,False,False,True,False,False
個,True,True,True,False,False,True,True,True
倌,False,True,True,False,False,True,True,True
倍,True,True,True,False,False,True,True,True
倎,False,False,False,False,False,True,False,False
倏,False,True,True,False,False,True,True,True
倐,False,False,False,False,False,True,False,False
們,True,True,True,False,False,True,True,True
倒,True,True,True,False,False,True,True,True
倓,False,False,False,False,False,True,False,False
倔,False,True,True,False,False,True,True,True
倕,False,False,False,False,False,True,False,False
倖,True,True,True,False,False,True,True,True
倗,False,False,False,False,False,True,False,False
倘,True,True,True,False,False,True,True,True
候,True,True,True,False,False,True,True,True
倚,True,True,True,False,False,True,True,True
倛,False,False,False,False,False,True,False,False
倜,False,True,True,False,False,True,True,True
倝,False,False,False,False,False,True,False,False
倞,False,False,False,False,False,True,False,False
借,True,True,True,False,False,True,True,True
倠,False,False,False,False,False,True,False,False
倡,True,True,True,False,False,True,True,True
倢,False,False,False,False,False,True,False,False
倣,True,False,False,False,False,True,False,False
値,True,True,True,False,False,True,True,True
倥,False,False,False,False,False,True,False,False
倦,True,True,True,False,False,True,True,True
倧,False,False,False,False,False,True,False,False
倨,False,False,False,False,False,True,False,False
倩,True,True,True,False,False,True,True,True
倪,True,True,True,False,False,True,True,True
倫,True,True,True,False,False,True,True,True
倬,True,True,True,False,False,True,True,True
倭,True,True,True,False,False,True,True,True
倮,False,False,False,False,False,True,False,False
倯,False,False,False,False,False,True,False,False
倰,False,False,False,False,False,True,False,False
倱,False,False,False,False,False,True,False,False
倲,False,False,False,False,False,True,False,False
倳,False,False,False,False,False,True,False,False
倴,False,False,False,False,False,True,False,False
倵,False,False,False,False,False,True,False,False
倶,True,True,True,False,False,True,True,True
倷,False,False,False,False,False,True,False,False
倸,False,False,False,False,False,True,False,False
倹,True,False,False,False,False,True,False,False
债,True,True,True,False,False,True,True,True
倻,True,False,False,False,False,True,False,False
值,True,True,True,False,False,True,True,True
倽,False,False,False,False,False,True,False,False
倾,True,True,True,False,False,True,True,True
倿,False,False,False,False,False,True,False,False
偀,False,False,False,False,False,True,False,False
偁,False,False,False,False,False,True,False,False
偂,False,False,False,False,False,True,False,False
偃,True,True,True,False,False,True,True,True
偄,False,False,False,False,False,True,False,False
偅,False,False,False,False,False,True,False,False
偆,False,False,False,False,False,True,False,False
假,True,True,True,False,False,True,True,True
偈,True,True,True,False,False,True,True,True
偉,True,True,True,False,False,True,True,True
偊,False,False,False,False,False,True,False,False
偋,False,False,False,False,False,True,False,False
偌,False,True,True,False,False,True,True,True
偍,False,False,False,False,False,True,False,False
偎,False,True,True,False,False,True,True,True
偏,True,True,True,False,False,True,True,True
偐,False,False,False,False,False,True,False,False
偑,False,False,False,False,False,True,False,False
偒,False,False,False,False,False,True,False,False
偓,False,False,False,False,False,True,False,False
偔,False,False,False,False,False,True,False,False
偕,True,True,True,False,False,True,True,True
偖,False,False,False,False,False,True,False,False
偗,False,False,False,False,False,True,False,False
偘,False,False,False,False,False,True,False,False
偙,False,False,False,False,False,True,False,False
做,True,True,True,False,False,True,True,True
偛,False,False,False,False,False,True,False,False
停,True,True,True,False,False,True,True,True
偝,False,False,False,False,False,True,False,False
偞,False,False,False,False,False,True,False,False
偟,False,False,False,False,False,True,False,False
偠,False,False,False,False,False,True,False,False
偡,False,False,False,False,False,True,False,False
偢,False,False,False,False,False,True,False,False
偣,False,False,False,False,False,True,False,False
偤,False,False,False,False,False,True,False,False
健,True,True,True,False,False,True,True,True
偦,False,False,False,False,False,True,False,False
偧,False,False,False,False,False,True,False,False
偨,False,False,False,False,False,True,False,False
偩,False,False,False,False,False,True,False,False
偪,False,False,False,False,False,True,False,False
偫,False,False,False,False,False,True,False,False
偬,False,False,False,False,False,True,False,False
偭,False,False,False,False,False,True,False,False
偮,False,False,False,False,False,True,False,False
偯,False,False,False,False,False,True,False,False
偰,False,False,False,False,False,True,False,False
偱,False,False,False,False,False,True,False,False
偲,True,False,False,False,False,True,False,False
偳,False,False,False,False,False,True,False,False
側,True,True,True,False,False,True,True,True
偵,True,True,True,False,False,True,True,True
偶,True,True,True,False,False,True,True,True
偷,True,True,True,False,False,True,True,True
偸,False,False,False,False,False,True,False,False
偹,False,False,False,False,False,True,False,False
偺,False,False,False,False,False,True,False,False
偻,False,True,True,False,False,True,True,True
偼,False,False,False,False,False,True,False,False
偽,True,True,True,False,False,True,True,True
偾,False,False,False,False,False,True,False,False
偿,True,True,True,False,False,True,True,True
傀,True,True,True,False,False,True,True,True
傁,False,False,False,False,False,True,False,False
傂,False,False,False,False,False,True,False,False
傃,False,False,False,False,False,True,False,False
傄,False,False,False,False,False,True,False,False
傅,True,True,True,False,False,True,True,True
傆,False,False,False,False,False,True,False,False
傇,False,False,False,False,False,True,False,False
傈,True,False,False,False,False,True,False,False
傉,False,False,False,False,False,True,False,False
傊,False,False,False,False,False,True,False,False
傋,False,False,False,False,False,True,False,False
傌,False,False,False,False,False,True,False,False
傍,True,True,True,False,False,True,True,True
傎,False,False,False,False,False,True,False,False
傏,False,False,False,False,False,True,False,False
傐,False,False,False,False,False,True,False,False
傑,True,True,True,False,False,True,True,True
傒,False,False,False,False,False,True,False,False
傓,False,False,False,False,False,True,False,False
傔,False,False,False,False,False,True,False,False
傕,True,False,False,False,False,True,False,False
傖,False,False,False,False,False,True,False,False
傗,False,False,False,False,False,True,False,False
傘,True,True,True,False,False,True,True,True
備,True,True,True,False,False,True,True,True
傚,False,True,True,False,False,True,True,True
傛,False,False,False,False,False,True,False,False
傜,False,False,False,False,False,True,False,False
傝,False,False,False,False,False,True,False,False
傞,False,False,False,False,False,True,False,False
傟,False,False,False,False,False,True,False,False
傠,False,False,False,False,False,True,False,False
傡,False,False,False,False,False,True,False,False
傢,True,True,True,False,False,True,True,True
傣,True,True,True,False,False,True,True,True
傤,False,False,False,False,False,True,False,False
傥,False,True,True,False,False,True,True,True
傦,False,False,False,False,False,True,False,False
傧,False,False,False,False,False,True,False,False
储,True,True,True,False,False,True,True,True
傩,False,True,True,False,False,True,True,True
傪,False,False,False,False,False,True,False,False
傫,False,False,False,False,False,True,False,False
催,True,True,True,False,False,True,True,True
傭,True,True,True,False,False,True,True,True
傮,False,False,False,False,False,True,False,False
傯,False,False,False,False,False,True,False,False
傰,False,False,False,False,False,True,False,False
傱,False,False,False,False,False,True,False,False
傲,True,True,True,False,False,True,True,True
傳,True,True,True,False,False,True,True,True
傴,False,False,False,False,False,True,False,False
債,True,True,True,False,False,True,True,True
傶,False,False,False,False,False,True,False,False
傷,True,True,True,False,False,True,True,True
傸,False,False,False,False,False,True,False,False
傹,False,False,False,False,False,True,False,False
傺,False,False,False,False,False,True,False,False
傻,True,True,True,False,False,True,True,True
傼,False,False,False,False,False,True,False,False
傽,False,False,False,False,False,True,False,False
傾,True,True,True,False,False,True,True,True
傿,False,False,False,False,False,True,False,False
僀,False,False,False,False,False,True,False,False
僁,False,False,False,False,False,True,False,False
僂,False,False,False,False,False,True,False,False
僃,False,False,False,False,False,True,False,False
僄,False,False,False,False,False,True,False,False
僅,True,True,True,False,False,True,True,True
僆,False,False,False,False,False,True,False,False
僇,False,False,False,False,False,True,False,False
僈,False,False,False,False,False,True,False,False
僉,True,False,False,False,False,True,False,False
僊,False,False,False,False,False,True,False,False
僋,False,False,False,False,False,True,False,False
僌,False,False,False,False,False,True,False,False
働,True,True,True,False,False,True,True,True
僎,False,False,False,False,False,True,False,False
像,True,True,True,False,False,True,True,True
僐,False,False,False,False,False,True,False,False
僑,True,True,True,False,False,True,True,True
僒,False,False,False,False,False,True,False,False
僓,False,False,False,False,False,True,False,False
僔,False,False,False,False,False,True,False,False
僕,True,True,True,False,False,True,True,True
僖,True,True,True,False,False,True,True,True
僗,False,False,False,False,False,True,False,False
僘,False,False,False,False,False,True,False,False
僙,False,False,False,False,False,True,False,False
僚,True,True,True,False,False,True,True,True
僛,False,False,False,False,False,True,False,False
僜,False,False,False,False,False,True,False,False
僝,False,False,False,False,False,True,False,False
僞,False,False,False,False,False,True,False,False
僟,False,False,False,False,False,True,False,False
